product_name;category;shop_name;province;city;campaign_name;campaign_type;review_text;delivery_status
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Exceeded expectations, will order again.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Excellent product, highly recommend!;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Great fit, very comfortable.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item arrived in perfect condition.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item came with missing parts.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item color slightly different from picture.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item does not match description.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item feels cheap.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item feels solid and premium.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item is a little smaller than expected.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item is not worth the price.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item is okay for the price.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item is smaller than expected.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item looks nice, okay quality.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item not as advertised.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item was missing accessories.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Item works perfectly.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;No Review;Not Available
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Not worth buying, poor quality.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is heavy and solid.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is lightweight and durable.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is not authentic.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is okay, acceptable quality.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is sturdy.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is stylish and practical.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product is worth every penny.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Product looks exactly like the picture.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Received exactly what I ordered.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Very cute design, looks great.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Very nice design, looks premium.;Delivered
Belt;Fashion;BaanBaan;Nakhon Pathom;Nakhon Pathom;No Campaign;No Campaign;Very satisfied with the purchase.;Delivered
Belt;Fashion;BaanBaanDee;Samut Prakan;Samut Prakan;11.11 Sale;flash-sale;Color differs from the pictures.;Delivered
Belt;Fashion;BaanBaanDee;Samut Prakan;Samut Prakan;No Campaign;No Campaign;Great fit, very comfortable.;Delivered
Belt;Fashion;BaanBaanDee;Samut Prakan;Samut Prakan;No Campaign;No Campaign;Item color slightly different from picture.;Delivered
